model,label,date,expiry,tenor,sigma_mkt,sigma_mod,err_bp,path_frac
stable,Stable (dim4),2022-07-29,1,5,83.7,530.3,446.6,1.0
stable,Stable (dim4),2022-07-29,1,10,61.4,569.9,508.5,1.0
stable,Stable (dim4),2022-07-29,5,1,57.3,442.1,384.8,1.0
stable,Stable (dim4),2022-07-29,5,5,47.4,323.1,275.7,1.0
stable,Stable (dim4),2022-07-29,5,10,42.8,276.4,233.6,1.0
stable,Stable (dim4),2022-07-29,10,1,35.8,266.8,231.0,1.0
stable,Stable (dim4),2022-07-29,10,5,38.0,218.8,180.8,1.0
stable,Stable (dim4),2022-07-29,10,10,42.9,178.3,135.4,1.0
stable,Stable (dim4),2022-08-31,1,1,62.8,562.5,499.7,1.0
stable,Stable (dim4),2022-08-31,1,5,60.7,458.2,397.5,1.0
stable,Stable (dim4),2022-08-31,1,10,50.7,486.3,435.6,1.0
stable,Stable (dim4),2022-08-31,5,1,50.6,372.3,321.7,1.0
stable,Stable (dim4),2022-08-31,5,5,41.1,282.6,241.5,1.0
stable,Stable (dim4),2022-08-31,5,10,36.2,265.5,229.3,1.0
stable,Stable (dim4),2022-08-31,10,1,34.1,226.9,192.8,1.0
stable,Stable (dim4),2022-08-31,10,5,34.1,186.7,152.6,1.0
stable,Stable (dim4),2022-08-31,10,10,35.8,161.3,125.5,1.0
stable,Stable (dim4),2022-09-30,1,1,51.1,519.0,467.9,1.0
stable,Stable (dim4),2022-09-30,1,5,53.1,391.6,338.5,1.0
stable,Stable (dim4),2022-09-30,1,10,49.3,449.0,399.7,1.0
stable,Stable (dim4),2022-09-30,5,1,43.7,341.8,298.1,1.0
stable,Stable (dim4),2022-09-30,5,5,39.2,254.2,215.0,1.0
stable,Stable (dim4),2022-09-30,5,10,36.5,245.5,209.0,1.0
stable,Stable (dim4),2022-09-30,10,1,33.6,210.3,176.7,1.0
stable,Stable (dim4),2022-09-30,10,5,34.3,173.9,139.6,1.0
stable,Stable (dim4),2022-09-30,10,10,37.9,159.3,121.4,1.0
stable,Stable (dim4),2022-10-31,1,1,42.7,485.5,442.8,1.0
stable,Stable (dim4),2022-10-31,1,5,46.9,365.6,318.7,1.0
stable,Stable (dim4),2022-10-31,1,10,46.5,461.8,415.3,1.0
stable,Stable (dim4),2022-10-31,5,1,42.3,328.0,285.7,1.0
stable,Stable (dim4),2022-10-31,5,5,37.7,261.6,223.9,1.0
stable,Stable (dim4),2022-10-31,5,10,35.3,240.9,205.6,1.0
stable,Stable (dim4),2022-10-31,10,1,31.6,212.7,181.1,1.0
stable,Stable (dim4),2022-10-31,10,5,31.4,174.2,142.8,1.0
stable,Stable (dim4),2022-10-31,10,10,33.6,157.5,123.9,1.0
stable,Stable (dim4),2022-11-30,1,1,41.9,488.3,446.4,1.0
stable,Stable (dim4),2022-11-30,1,5,49.8,407.0,357.2,1.0
stable,Stable (dim4),2022-11-30,1,10,48.4,467.5,419.1,1.0
stable,Stable (dim4),2022-11-30,5,1,48.4,328.1,279.7,1.0
stable,Stable (dim4),2022-11-30,5,5,42.6,272.3,229.7,1.0
